,UMAP1,UMAP2,UMAP3,esg_rating,ticker,dividend_yield,dividend_yield_qtl,quality_score,quality_score_qtl,carbon_intensity,carbon_intensity_qtl,aum_qtl,aum,investment_strategy,asset_class,asset_region,subsegment,grade
0,14.0463505,5.296403,0.69330156,A,SPY,1.6,Q2,6.68,Q3,122.31,Q2,Q4,425980000000.0,standard,equity,us,large_cap,A
1,14.050143,5.2896595,0.6957171,A,IVV,1.6,Q2,6.68,Q3,122.41,Q2,Q4,351620000000.0,standard,equity,us,large_cap,A
2,14.053347,5.286133,0.69692767,A,VOO,1.6,Q2,6.68,Q3,122.47,Q2,Q4,336310000000.0,standard,equity,us,large_cap,A
3,14.067337,5.2776823,0.7142244,A,VTI,1.56,Q2,6.52,Q3,122.61,Q2,Q4,319680000000.0,standard,equity,us,total_market,A
4,14.026767,5.297474,0.6658042,A,QQQ,0.75,Q1,6.71,Q3,47.01,Q1,Q4,209300000000.0,standard,equity,us,large_cap,A
5,14.030515,5.357504,0.6602346,AA,VEA,2.99,Q3,7.41,Q4,126.17,Q2,Q4,116800000000.0,standard,equity,dev_markets,total_market,A
6,13.369557,5.292555,-0.7196544,A,VTV,2.66,Q3,6.5,Q3,213.73,Q3,Q4,103590000000.0,standard,equity,us,large_cap,A
7,15.553338,12.215703,0.7343448,AA,IEFA,3.03,Q3,7.53,Q4,108.58,Q2,Q4,100930000000.0,standard,equity,dev_markets,total_market,A
8,14.0700445,5.299199,0.7230406,A,BND,,Q4,6.08,Q2,269.7,Q4,Q4,95170000000.0,standard,fixed_income,us,broad_based,A
9,14.076315,5.2777267,0.72375447,A,AGG,,Q4,6.07,Q2,278.45,Q4,Q4,93780000000.0,standard,fixed_income,us,broad_based,A
10,13.585985,5.0914345,-0.56317127,A,VUG,0.65,Q1,6.75,Q3,44.04,Q1,Q4,93310000000.0,standard,equity,us,large_cap,A
11,15.34772,7.580642,5.4638352,BBB,VWO,2.87,Q3,5.35,Q1,382.94,Q4,Q4,74890000000.0,standard,equity,emerg_markets,total_market,B
12,15.331792,7.5411296,5.403401,BBB,IEMG,2.77,Q3,5.37,Q1,339.37,Q4,Q4,73770000000.0,standard,equity,emerg_markets,total_market,B
13,9.267982,-4.107261,2.1946347,A,IJH,1.7,Q2,5.89,Q2,153.69,Q3,Q4,72840000000.0,standard,equity,us,mid_cap,A
14,4.098452,4.78343,7.6567926,BBB,IJR,1.81,Q2,5.37,Q1,105.74,Q2,Q4,72370000000.0,standard,equity,us,small_cap,A
15,13.285377,5.5350995,-0.85426223,A,IWF,0.91,Q1,6.94,Q4,42.68,Q1,Q4,71550000000.0,standard,equity,us,large_cap,A
16,13.023482,5.5604324,-0.76521707,A,VIG,1.96,Q2,6.92,Q4,134.33,Q3,Q4,70650000000.0,standard,equity,us,total_market,A
17,14.03955,5.3057547,0.6677189,A,VXUS,2.97,Q3,6.93,Q4,187.61,Q3,Q4,59180000000.0,standard,equity,global,total_market,A
