,Unnamed: 0,ticker,one_yr_return,expense_ratio,aum,dividend_yield,fundname,esg_rating,quality_score,score_peer_rank,score_global_rank,carbon_intensity,sustainable_impact_exposure,sri_screening_criteria_exposure,analyst_pick,grade,efficiency,tradability,fit,segment,one_mo_p_percent,three_mo_p_percent,ytd_p_percent,one_yr_p_percent,three_yr_p_percent,five_yr_p_percent,ten_yr_p_percent,one_mo,three_mo,ytd,one_yr,three_yr,as_of_date,investment_strategy,asset_class,asset_region,subsegment
0,0,SPY,17.03,0.09,425980000000.0,1.6,SPDR S&P 500 ETF Trust,A,6.68,58.71,47.34,122.31,,9.75,True,A,99.0,100.0,96.0,Equity: U.S.  -  Large Cap,5.13,12.57,20.0,17.03,14.09,11.79,12.48,2691510000.0,8169170000.0,1789010000.0,13301680000.0,22741630000.0,2023-07-25,standard,equity,us,large_cap
1,1,IVV,17.08,0.03,351620000000.0,1.6,iShares Core S&P 500 ETF,A,6.68,58.67,47.01,122.41,,9.67,True,A,100.0,100.0,96.0,Equity: U.S.  -  Large Cap,5.14,12.61,20.04,17.08,14.15,11.82,12.54,9267710000.0,10790410000.0,8072130000.0,14067330000.0,60431070000.0,2023-07-25,standard,equity,us,large_cap
2,2,VOO,17.09,0.03,336310000000.0,1.6,Vanguard 500 Index Fund,A,6.68,58.75,47.99,122.47,,9.76,True,A,99.0,100.0,96.0,Equity: U.S.  -  Large Cap,5.15,12.62,20.09,17.09,14.15,11.82,12.55,9917650000.0,16158850000.0,23221010000.0,35073960000.0,110267640000.0,2023-07-25,standard,equity,us,large_cap
3,3,VTI,16.46,0.03,319680000000.0,1.56,Vanguard Total Stock Market ETF,A,6.52,52.51,24.74,122.61,,8.86,True,A,99.0,100.0,99.0,Equity: U.S.  -  Total Market,5.56,12.94,19.61,16.46,13.42,10.98,11.98,2046560000.0,6017330000.0,9869710000.0,21851890000.0,100791260000.0,2023-07-25,standard,equity,us,total_market
4,4,QQQ,27.05,0.2,209300000000.0,0.75,Invesco QQQ Trust,A,6.71,59.94,55.16,47.01,,8.36,True,A,97.0,100.0,67.0,Equity: U.S.  -  Large Cap,4.48,22.36,42.66,27.05,14.71,16.5,18.66,7232160000.0,8995940000.0,4850110000.0,4059080000.0,34132480000.0,2023-07-25,standard,equity,us,large_cap
5,5,VEA,16.67,0.05,116800000000.0,2.99,Vanguard FTSE Developed Markets ETF,AA,7.41,85.48,39.73,126.17,,9.54,True,A,98.0,77.0,96.0,Equity: Developed Markets Ex-U.S.  -  Total Market,4.87,4.51,14.37,16.67,8.66,4.5,5.28,550230000.0,2550160000.0,3946170000.0,9079410000.0,31687370000.0,2023-07-25,standard,equity,dev_markets,total_market
6,6,VTV,11.62,0.04,103590000000.0,2.66,Vanguard Value ETF,A,6.5,51.84,23.19,213.73,,13.24,True,A,99.0,100.0,96.0,Equity: U.S.  -  Large Cap Value,5.94,6.31,6.06,11.62,15.22,9.16,10.27,696150000.0,-3344280000.0,-306210000.0,-2248470000.0,30752640000.0,2023-07-25,standard,equity,us,large_cap
7,7,IEFA,17.42,0.07,100930000000.0,3.03,iShares Core MSCI EAFE ETF,AA,7.53,88.46,52.28,108.58,,10.82,True,A,99.0,90.0,99.0,Equity: Developed Markets Ex-North America  -  Total Market,4.41,3.64,14.25,17.42,8.24,4.18,5.25,,1780750000.0,1780750000.0,2110940000.0,23766420000.0,2023-07-25,standard,equity,dev_markets,total_market
8,8,BND,-2.27,0.03,95170000000.0,,Vanguard Total Bond Market ETF,A,6.08,41.25,59.21,269.7,,2.9,True,A,95.0,100.0,,"Fixed Income: U.S. - Broad Market, Broad-based Investment Grade",-0.28,-1.72,2.3,-2.27,-4.43,0.79,1.47,1526350000.0,4734620000.0,9593350000.0,17268740000.0,53074840000.0,2023-07-25,standard,fixed_income,us,broad_based
9,9,AGG,-2.43,0.03,93780000000.0,,iShares Core U.S. Aggregate Bond ETF,A,6.07,40.76,55.96,278.45,,2.52,True,A,96.0,100.0,,"Fixed Income: U.S. - Broad Market, Broad-based Investment Grade",-0.31,-1.72,2.27,-2.43,-4.39,0.72,1.45,2649340000.0,6880510000.0,10668420000.0,15784160000.0,31969950000.0,2023-07-25,standard,fixed_income,us,broad_based
10,10,VUG,22.31,0.04,93310000000.0,0.65,Vanguard Growth ETF,A,6.75,61.35,60.84,44.04,,6.4,True,A,99.0,100.0,95.0,Equity: U.S.  -  Large Cap Growth,4.68,19.34,36.35,22.31,11.95,13.85,14.57,-1015040000.0,-1001530000.0,808720000.0,4296760000.0,12544490000.0,2023-07-25,standard,equity,us,large_cap
11,11,VWO,6.78,0.08,74890000000.0,2.87,Vanguard FTSE Emerging Markets ETF,BBB,5.35,28.46,11.69,382.94,,2.99,True,B,86.0,77.0,89.0,Equity: Emerging Markets  -  Total Market,5.13,8.22,8.96,6.78,2.43,2.07,3.29,3780000.0,644650000.0,1895270000.0,3286760000.0,19246670000.0,2023-07-25,standard,equity,emerg_markets,total_market
12,12,IEMG,8.4,0.09,73770000000.0,2.77,iShares Core MSCI Emerging Markets ETF,BBB,5.37,28.88,13.26,339.37,,3.32,True,B,81.0,83.0,99.0,Equity: Emerging Markets  -  Total Market,5.38,9.52,11.04,8.4,2.51,1.61,3.29,214160000.0,918500000.0,4867000000.0,5525020000.0,24822360000.0,2023-07-25,standard,equity,emerg_markets,total_market
